"APPLIANCE","POOL","SHARE","PROJECT","EXPORT","DATACENTER"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","EBAMDM1","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","SITEPST","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","SIPESE","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","LIMA","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","SDPESE01","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","TBWEB","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","TBWEB","root=@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","SACIES","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","SACIES","root=@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","PATROCLO","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","DWIECT","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","PALFADI","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","OTM","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","OTM","root=@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","FASDBASE","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","RTCPROD","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","CRPM","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","CRPM","root=@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","root=@192.168.10.58/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@192.168.10.59/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@192.168.10.60/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@192.168.10.61/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@192.168.10.62/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@192.168.10.63/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@192.168.10.64/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@192.168.10.65/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@192.168.10.11/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@192.168.10.12/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@192.168.10.13/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@192.168.10.14/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@10.22.51.144/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@10.22.51.143/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@10.22.51.142/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@10.22.51.141/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@10.22.51.140/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@10.22.51.139/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@10.22.51.138/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS4","EBPF_C3","@10.22.51.137/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","root=@192.168.10.58/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@192.168.10.59/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@192.168.10.60/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@192.168.10.61/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@192.168.10.62/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@192.168.10.63/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@192.168.10.64/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@192.168.10.65/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@192.168.10.11/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@192.168.10.12/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@192.168.10.13/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@192.168.10.14/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@10.22.51.144/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@10.22.51.143/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@10.22.51.142/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@10.22.51.141/26","Bologna"
